Instance	avg time (LRGDR)	average sequence time (LRGDR)	avg obj  (LRGDR)	MV time	MV obj	MV+GDR time	MV+GDR obj	NOPACU average time	NOPACU avg obj 	NOPACU+GDR  avg time 	NOPACU+GDR avg obj 
1	143.6	99.99943	6380.6	3602.52	13669.47219	3645.0245	7119.227009	247.053	6705.556341	291.4899	6410.253028
2	175.4	124.3456	7213.6	3602.66	12655.71296	3656.0065	7484.295232	767.327	9732.79989	815.9258	9549.489752
3	76.7	62.314035	5029.8	3603.08	8033.756929	3618.9695	5433.924102	372.866	6667.493635	386.9746	6598.312342
4	79.4	62.80905	3308.0	3602.9	5859.787329	3618.4925	4044.382736	206.877	3127.032766	224.4147	2951.007797
5	120.1	82.16131	3631.3	3603.77	9424.39531	3641.0215	4070.947751	170.373	4892.990949	208.7224	4115.176725
6	89.6	68.317025	2996.8	3603.5	6274.793019	3627.207	2838.348479	176.4	3811.413716	199.3049	3539.939262
7	74.8	55.40394	4011.9	1784.34	8149.312897	1804.8375	4706.503751	139.613	4154.762304	160.8271	4018.688586
8	77.3	57.849635	2720.2	3603.25	6491.433102	3622.774	3516.431848	81.998	3189.525273	103.111	2992.417176
9	53.3	42.59604	2906.5	255.681	5257.696235	268.50805	3312.524169	43.5076	3608.269753	55.48285	3491.901282
10	109.2	82.5123	4505.3	3602.55	8412.779045	3630.425	5375.422981	272.232	6336.282436	298.5066	6300.470299
11	108.7	74.717395	3733.6	3602.87	11142.96205	3638.246	3868.872079	34.6071	5185.665254	67.64863	4223.122888
12	188.1	123.13165	8002.1	3602.67	17933.51659	3664.0385	10672.35326	267.858	13451.61928	315.3192	13036.89628
13	111.9	86.237455	5666.0	3602.7	9729.42586	3629.726	6309.123318	688.569	9002.258562	713.1151	8883.137065
14	125.4	89.2316	6066.2	3602.19	11776.82374	3636.6555	6747.724421	219.197	6740.773919	256.11	6587.230021
15	157.1	108.61605	4553.6	3603.15	12795.41604	3653.0455	5719.005471	627.887	7582.731189	675.523	7385.505457
16	125.8	86.490385	4418.0	3604.51	9606.8665	3643.416	4835.322849	181.791	5209.629986	222.9582	4714.702644
17	140.0	101.84135	10649.5	3602.23	18720.03034	3642.5445	12365.37768	733.995	19990.6718	765.0247	18818.89854
18	118.9	79.261245	6914.2	3603.05	12095.80636	3641.167	7746.523931	183.383	9680.45683	219.681	9547.839213
19	133.1	91.608095	4512.7	3604.07	10372.04179	3643.7875	5396.622832	203.488	5454.748706	247.4667	5067.206708
20	53.7	41.67721	4297.7	726.7	7736.514005	739.51995	4663.416476	111.249	6567.722656	123.2193	6436.152812
21	118.5	84.103545	5543.8	3602.28	11073.38408	3635.1615	6521.451482	192.359	6250.70974	226.2805	5932.404662
22	134.6	89.691575	5186.0	3602.87	10683.27326	3646.8575	5746.84897	244.92	5766.089604	291.1764	5405.079337
23	79.1	57.809955	3659.5	3604.6	7618.477669	3624.0575	4459.31821	148.728	3942.380794	170.7008	3826.660684
24	67.5	52.89739	2808.0	3602.65	5683.225251	3616.9375	3072.332445	146.123	3189.142275	160.6178	2945.136985
25	101.8	77.13411	3988.5	3602.57	7513.335599	3627.509	4704.257742	460.615	5314.489367	486.5178	5159.528376
